Ndex,Pokémon,Type1,Type2,Variance,Generation,Evolution,Rarity,NewSnap
1,Bulbasaur,Grass,Poison,,1,1,Starter,1
2,Ivysaur,Grass,Poison,,1,2,Starter,0
3,Venusaur,Grass,Poison,,1,3,Starter,1
4,Charmander,Fire,Fire,,1,1,Starter,1
5,Charmeleon,Fire,Fire,,1,2,Starter,0
6,Charizard,Fire,Flying,,1,3,Starter,1
7,Squirtle,Water,Water,,1,1,Starter,1
8,Wartortle,Water,Water,,1,2,Starter,0
9,Blastoise,Water,Water,,1,3,Starter,1
10,Caterpie,Bug,Bug,,1,1,Standard,1
11,Metapod,Bug,Bug,,1,2,Standard,1
12,Butterfree,Bug,Flying,,1,3,Standard,0
13,Weedle,Bug,Poison,,1,1,Standard,0
14,Kakuna,Bug,Poison,,1,2,Standard,0
15,Beedrill,Bug,Poison,,1,3,Standard,0
16,Pidgey,Normal,Flying,,1,1,Standard,0
17,Pidgeotto,Normal,Flying,,1,2,Standard,0
18,Pidgeot,Normal,Flying,,1,3,Standard,1
19,Rattata,Normal,Normal,,1,1,Standard,1
19,Rattata,Dark,Normal,Alohan,1,1,Standard,0
20,Raticate,Normal,Normal,,1,2,Standard,0
20,Raticate,Dark,Normal,Alohan,1,2,Standard,0
21,Spearow,Normal,Flying,,1,1,Standard,0
22,Fearow,Normal,Flying,,1,2,Standard,0
23,Ekans,Poison,Poison,,1,1,Standard,0
24,Arbok,Poison,Poison,,1,2,Standard,1
25,Pikachu,Electric,Electric,,1,2,Starter,1
26,Raichu,Electric,Electric,,1,3,Starter,0
26,Raichu,Electric,Psychic,Alohan,1,3,Starter,1
27,Sandshrew,Ground,Ground,,1,1,Standard,1
27,Sandshrew,Ice,Steel,Alohan,1,1,Standard,0
28,Sandslash,Ground,Ground,,1,2,Standard,0
28,Sandslash,Ice,Steel,Alohan,1,2,Standard,1
29,Nidoran♀,Poison,Poison,,1,1,Standard,0
30,Nidorina,Poison,Poison,,1,2,Standard,0
31,Nidoqueen,Poison,Ground,,1,3,Standard,0
32,Nidoran♂,Poison,Poison,,1,1,Standard,0
33,Nidorino,Poison,Poison,,1,2,Standard,0
34,Nidoking,Poison,Ground,,1,3,Standard,0
35,Clefairy,Fairy,Fairy,,1,2,Standard,1
36,Clefable,Fairy,Fairy,,1,3,Standard,0
37,Vulpix,Fire,Fire,,1,1,Standard,0
37,Vulpix,Ice,Ice,Alohan,1,1,Standard,1
38,Ninetales,Fire,Fire,,1,2,Standard,1
38,Ninetales,Ice,Fairy,Alohan,1,2,Standard,0
39,Jigglypuff,Normal,Fairy,,1,2,Standard,0
40,Wigglytuff,Normal,Fairy,,1,3,Standard,0
41,Zubat,Poison,Flying,,1,1,Standard,0
42,Golbat,Poison,Flying,,1,2,Standard,0
43,Oddish,Grass,Poison,,1,1,Standard,0
44,Gloom,Grass,Poison,,1,2,Standard,0
45,Vileplume,Grass,Poison,,1,3,Standard,0
46,Paras,Bug,Grass,,1,1,Standard,0
47,Parasect,Bug,Grass,,1,2,Standard,0
48,Venonat,Bug,Poison,,1,1,Standard,0
49,Venomoth,Bug,Poison,,1,2,Standard,0
50,Diglett,Ground,Ground,,1,1,Standard,2
50,Diglett,Ground,Steel,Alohan,1,1,Standard,0
51,Dugtrio,Ground,Ground,,1,2,Standard,0
51,Dugtrio,Ground,Steel,Alohan,1,2,Standard,0
52,Meowth,Normal,Normal,,1,1,Standard,1
52,Meowth,Dark,Dark,Alohan,1,1,Standard,0
52,Meowth,Steel,Steel,Galarian,1,1,Standard,0
53,Persian,Normal,Normal,,1,2,Standard,0
53,Persian,Dark,Dark,Alohan,1,2,Standard,0
54,Psyduck,Water,Water,,1,1,Standard,2
55,Golduck,Water,Water,,1,2,Standard,0
56,Mankey,Fighting,Fighting,,1,1,Standard,0
57,Primeape,Fighting,Fighting,,1,2,Standard,0
58,Growlithe,Fire,Fire,,1,1,Standard,0
59,Arcanine,Fire,Fire,,1,2,Standard,0
60,Poliwag,Water,Water,,1,1,Standard,0
61,Poliwhirl,Water,Water,,1,2,Standard,0
62,Poliwrath,Water,Fighting,,1,3,Standard,0
63,Abra,Psychic,Psychic,,1,1,Standard,0
64,Kadabra,Psychic,Psychic,,1,2,Standard,0
65,Alakazam,Psychic,Psychic,,1,3,Standard,0
66,Machop,Fighting,Fighting,,1,1,Standard,0
67,Machoke,Fighting,Fighting,,1,2,Standard,0
68,Machamp,Fighting,Fighting,,1,3,Standard,1
69,Bellsprout,Grass,Poison,,1,1,Standard,0
70,Weepinbell,Grass,Poison,,1,2,Standard,0
71,Victreebel,Grass,Poison,,1,3,Standard,0
72,Tentacool,Water,Poison,,1,1,Standard,0
73,Tentacruel,Water,Poison,,1,2,Standard,1
74,Geodude,Rock,Ground,,1,1,Standard,1
74,Geodude,Rock,Electric,Alohan,1,1,Standard,0
75,Graveler,Rock,Ground,,1,2,Standard,1
75,Graveler,Rock,Electric,Alohan,1,2,Standard,0
76,Golem,Rock,Ground,,1,3,Standard,0
76,Golem,Rock,Electric,Alohan,1,3,Standard,0
77,Ponyta,Fire,Fire,,1,1,Standard,0
77,Ponyta,Psychic,Psychic,Galarian,1,1,Standard,0
78,Rapidash,Fire,Fire,,1,2,Standard,0
78,Rapidash,Psychic,Fairy,Galarian,1,2,Standard,0
79,Slowpoke,Water,Psychic,,1,1,Standard,0
79,Slowpoke,Psychic,Psychic,Galarian,1,1,Standard,0
80,Slowbro,Water,Psychic,,1,2,Standard,0
80,Slowbro,Poison,Psychic,Galarian,1,2,Standard,0
81,Magnemite,Electric,Steel,,1,1,Standard,0
82,Magneton,Electric,Steel,,1,2,Standard,0
83,Farfetch'd,Normal,Flying,,1,0,Standard,0
83,Farfetch'd,Fighting,Fighting,Galarian,1,1,Standard,0
84,Doduo,Normal,Flying,,1,1,Standard,0
85,Dodrio,Normal,Flying,,1,2,Standard,1
86,Seel,Water,Water,,1,1,Standard,0
87,Dewgong,Water,Ice,,1,2,Standard,1
88,Grimer,Poison,Poison,,1,1,Standard,0
88,Grimer,Poison,Dark,Alohan,1,1,Standard,0
89,Muk,Poison,Poison,,1,2,Standard,0
89,Muk,Poison,Dark,Alohan,1,2,Standard,0
90,Shellder,Water,Water,,1,1,Standard,0
91,Cloyster,Water,Ice,,1,2,Standard,0
92,Gastly,Ghost,Poison,,1,1,Standard,0
93,Haunter,Ghost,Poison,,1,2,Standard,0
94,Gengar,Ghost,Poison,,1,3,Standard,1
95,Onix,Rock,Ground,,1,1,Standard,1
96,Drowzee,Psychic,Psychic,,1,1,Standard,0
97,Hypno,Psychic,Psychic,,1,2,Standard,0
98,Krabby,Water,Water,,1,1,Standard,0
99,Kingler,Water,Water,,1,2,Standard,0
100,Voltorb,Electric,Electric,,1,1,Standard,0
101,Electrode,Electric,Electric,,1,2,Standard,0
102,Exeggcute,Grass,Psychic,,1,1,Standard,0
103,Exeggutor,Grass,Psychic,,1,2,Standard,1
103,Exeggutor,Grass,Dragon,Alohan,1,2,Standard,0
104,Cubone,Ground,Ground,,1,1,Standard,0
105,Marowak,Ground,Ground,,1,2,Standard,0
105,Marowak,Fire,Ghost,Alohan,1,2,Standard,0
106,Hitmonlee,Fighting,Fighting,,1,2,Standard,0
107,Hitmonchan,Fighting,Fighting,,1,2,Standard,0
108,Lickitung,Normal,Normal,,1,1,Standard,0
109,Koffing,Poison,Poison,,1,1,Standard,2
110,Weezing,Poison,Poison,,1,2,Standard,0
110,Weezing,Poison,Fairy,Galarian,1,2,Standard,0
111,Rhyhorn,Ground,Rock,,1,1,Standard,0
112,Rhydon,Ground,Rock,,1,2,Standard,0
113,Chansey,Normal,Normal,,1,2,Standard,0
114,Tangela,Grass,Grass,,1,1,Standard,0
115,Kangaskhan,Normal,Normal,,1,0,Standard,1
116,Horsea,Water,Water,,1,1,Standard,0
117,Seadra,Water,Water,,1,2,Standard,0
118,Goldeen,Water,Water,,1,1,Standard,0
119,Seaking,Water,Water,,1,2,Standard,0
120,Staryu,Water,Water,,1,1,Standard,0
121,Starmie,Water,Psychic,,1,2,Standard,1
122,Mr. Mime,Psychic,Fairy,,1,2,Standard,0
122,Mr. Mime,Ice,Psychic,Galarian,1,2,Standard,0
123,Scyther,Bug,Flying,,1,1,Standard,0
124,Jynx,Ice,Psychic,,1,2,Standard,1
125,Electabuzz,Electric,Electric,,1,2,Standard,0
126,Magmar,Fire,Fire,,1,2,Standard,0
127,Pinsir,Bug,Bug,,1,0,Standard,1
128,Tauros,Normal,Normal,,1,0,Standard,0
129,Magikarp,Water,Water,,1,1,Standard,1
130,Gyarados,Water,Flying,,1,2,Standard,2
131,Lapras,Water,Ice,,1,0,Standard,1
132,Ditto,Normal,Normal,,1,0,Standard,0
133,Eevee,Normal,Normal,,1,1,Starter,1
134,Vaporeon,Water,Water,,1,2,Starter,1
135,Jolteon,Electric,Electric,,1,2,Starter,1
136,Flareon,Fire,Fire,,1,2,Starter,1
137,Porygon,Normal,Normal,,1,1,Standard,0
138,Omanyte,Rock,Water,,1,1,Ancient,0
139,Omastar,Rock,Water,,1,2,Ancient,0
140,Kabuto,Rock,Water,,1,1,Ancient,0
141,Kabutops,Rock,Water,,1,2,Ancient,0
142,Aerodactyl,Rock,Flying,,1,0,Ancient,1
143,Snorlax,Normal,Normal,,1,2,Standard,2
144,Articuno,Ice,Flying,,1,0,Sub-Legendary,0
144,Articuno,Psychic,Flying,Galarian,1,0,Sub-Legendary,0
145,Zapdos,Electric,Flying,,1,0,Sub-Legendary,0
145,Zapdos,Fighting,Flying,Galarian,1,0,Sub-Legendary,0
146,Moltres,Fire,Flying,,1,0,Sub-Legendary,0
146,Moltres,Dark,Flying,Galarian,1,0,Sub-Legendary,0
147,Dratini,Dragon,Dragon,,1,1,Standard,0
148,Dragonair,Dragon,Dragon,,1,2,Standard,0
149,Dragonite,Dragon,Flying,,1,3,Standard,0
150,Mewtwo,Psychic,Psychic,,1,0,Legendary,0
151,Mew,Psychic,Psychic,,1,0,Mythical,1
152,Chikorita,Grass,Grass,,2,1,Starter,0
153,Bayleef,Grass,Grass,,2,2,Starter,0
154,Meganium,Grass,Grass,,2,3,Starter,1
155,Cyndaquil,Fire,Fire,,2,1,Starter,0
156,Quilava,Fire,Fire,,2,2,Starter,0
157,Typhlosion,Fire,Fire,,2,3,Starter,1
158,Totodile,Water,Water,,2,1,Starter,0
159,Croconaw,Water,Water,,2,2,Starter,0
160,Feraligatr,Water,Water,,2,3,Starter,2
161,Sentret,Normal,Normal,,2,1,Standard,0
162,Furret,Normal,Normal,,2,2,Standard,1
163,Hoothoot,Normal,Flying,,2,1,Standard,1
164,Noctowl,Normal,Flying,,2,2,Standard,0
165,Ledyba,Bug,Flying,,2,1,Standard,0
166,Ledian,Bug,Flying,,2,2,Standard,1
167,Spinarak,Bug,Poison,,2,1,Standard,0
168,Ariados,Bug,Poison,,2,2,Standard,1
169,Crobat,Poison,Flying,,2,3,Standard,1
170,Chinchou,Water,Electric,,2,1,Standard,1
171,Lanturn,Water,Electric,,2,2,Standard,0
172,Pichu,Electric,Electric,,2,1,Starter,1
173,Cleffa,Fairy,Fairy,,2,1,Standard,2
174,Igglybuff,Normal,Fairy,,2,1,Standard,0
175,Togepi,Fairy,Fairy,,2,1,Standard,0
176,Togetic,Fairy,Flying,,2,2,Standard,0
177,Natu,Psychic,Flying,,2,1,Standard,1
178,Xatu,Psychic,Flying,,2,2,Standard,0
179,Mareep,Electric,Electric,,2,1,Standard,0
180,Flaaffy,Electric,Electric,,2,2,Standard,0
181,Ampharos,Electric,Electric,,2,3,Standard,0
182,Bellossom,Grass,Grass,,2,3,Standard,1
183,Marill,Water,Fairy,,2,2,Standard,0
184,Azumarill,Water,Fairy,,2,3,Standard,0
185,Sudowoodo,Rock,Rock,,2,2,Standard,1
186,Politoed,Water,Water,,2,3,Standard,0
187,Hoppip,Grass,Flying,,2,1,Standard,0
188,Skiploom,Grass,Flying,,2,2,Standard,0
189,Jumpluff,Grass,Flying,,2,3,Standard,0
190,Aipom,Normal,Normal,,2,1,Standard,1
191,Sunkern,Grass,Grass,,2,1,Standard,0
192,Sunflora,Grass,Grass,,2,2,Standard,0
193,Yanma,Bug,Flying,,2,1,Standard,0
194,Wooper,Water,Ground,,2,1,Standard,1
195,Quagsire,Water,Ground,,2,2,Standard,1
196,Espeon,Psychic,Psychic,,2,2,Starter,1
197,Umbreon,Dark,Dark,,2,2,Starter,1
198,Murkrow,Dark,Flying,,2,1,Standard,1
199,Slowking,Water,Psychic,,2,2,Standard,0
199,Slowking,Poison,Psychic,Galarian,2,2,Standard,0
200,Misdreavus,Ghost,Ghost,,2,1,Standard,0
201,Unown,Psychic,Psychic,,2,0,Standard,0
202,Wobbuffet,Psychic,Psychic,,2,2,Standard,0
203,Girafarig,Normal,Psychic,,2,0,Standard,0
204,Pineco,Bug,Bug,,2,1,Standard,0
205,Forretress,Bug,Steel,,2,2,Standard,0
206,Dunsparce,Normal,Normal,,2,0,Standard,0
207,Gligar,Ground,Flying,,2,1,Standard,0
208,Steelix,Steel,Ground,,2,2,Standard,1
209,Snubbull,Fairy,Fairy,,2,1,Standard,0
210,Granbull,Fairy,Fairy,,2,2,Standard,0
211,Qwilfish,Water,Poison,,2,0,Standard,1
212,Scizor,Bug,Steel,,2,2,Standard,0
213,Shuckle,Bug,Rock,,2,0,Standard,0
214,Heracross,Bug,Fighting,,2,0,Standard,1
215,Sneasel,Dark,Ice,,2,1,Standard,0
216,Teddiursa,Normal,Normal,,2,1,Standard,0
217,Ursaring,Normal,Normal,,2,2,Standard,2
218,Slugma,Fire,Fire,,2,1,Standard,1
219,Magcargo,Fire,Rock,,2,2,Standard,0
220,Swinub,Ice,Ground,,2,1,Standard,1
221,Piloswine,Ice,Ground,,2,2,Standard,0
222,Corsola,Water,Rock,,2,0,Standard,1
222,Corsola,Ghost,Ghost,Galarian,2,1,Standard,0
223,Remoraid,Water,Water,,2,1,Standard,0
224,Octillery,Water,Water,,2,2,Standard,1
225,Delibird,Ice,Flying,,2,0,Standard,1
226,Mantine,Water,Flying,,2,2,Standard,1
227,Skarmory,Steel,Flying,,2,0,Standard,1
228,Houndour,Dark,Fire,,2,1,Standard,0
229,Houndoom,Dark,Fire,,2,2,Standard,1
230,Kingdra,Water,Dragon,,2,3,Standard,0
231,Phanpy,Ground,Ground,,2,1,Standard,0
232,Donphan,Ground,Ground,,2,2,Standard,0
233,Porygon2,Normal,Normal,,2,2,Standard,0
234,Stantler,Normal,Normal,,2,0,Standard,0
235,Smeargle,Normal,Normal,,2,0,Standard,0
236,Tyrogue,Fighting,Fighting,,2,1,Standard,0
237,Hitmontop,Fighting,Fighting,,2,3,Standard,0
238,Smoochum,Ice,Psychic,,2,1,Standard,0
239,Elekid,Electric,Electric,,2,1,Standard,0
240,Magby,Fire,Fire,,2,1,Standard,0
241,Miltank,Normal,Normal,,2,0,Standard,0
242,Blissey,Normal,Normal,,2,3,Standard,0
243,Raikou,Electric,Electric,,2,0,Sub-Legendary,0
244,Entei,Fire,Fire,,2,0,Sub-Legendary,0
245,Suicune,Water,Water,,2,0,Sub-Legendary,1
246,Larvitar,Rock,Ground,,2,1,Standard,0
247,Pupitar,Rock,Ground,,2,2,Standard,0
248,Tyranitar,Rock,Dark,,2,3,Standard,1
249,Lugia,Psychic,Flying,,2,0,Legendary,1
250,Ho-Oh,Fire,Flying,,2,0,Legendary,1
251,Celebi,Psychic,Grass,,2,0,Mythical,1
252,Treecko,Grass,Grass,,3,1,Starter,0
253,Grovyle,Grass,Grass,,3,2,Starter,0
254,Sceptile,Grass,Grass,,3,3,Starter,0
255,Torchic,Fire,Fire,,3,1,Starter,1
256,Combusken,Fire,Fighting,,3,2,Starter,0
257,Blaziken,Fire,Fighting,,3,3,Starter,0
258,Mudkip,Water,Water,,3,1,Starter,0
259,Marshtomp,Water,Ground,,3,2,Starter,0
260,Swampert,Water,Ground,,3,3,Starter,1
261,Poochyena,Dark,Dark,,3,1,Standard,0
262,Mightyena,Dark,Dark,,3,2,Standard,1
263,Zigzagoon,Normal,Normal,,3,1,Standard,0
263,Zigzagoon,Dark,Normal,Galarian,3,1,Standard,0
264,Linoone,Normal,Normal,,3,2,Standard,0
264,Linoone,Dark,Normal,Galarian,3,2,Standard,0
265,Wurmple,Bug,Bug,,3,1,Standard,1
266,Silcoon,Bug,Bug,,3,2,Standard,0
267,Beautifly,Bug,Flying,,3,3,Standard,1
268,Cascoon,Bug,Bug,,3,2,Standard,0
269,Dustox,Bug,Poison,,3,3,Standard,0
270,Lotad,Water,Grass,,3,1,Standard,1
271,Lombre,Water,Grass,,3,2,Standard,0
272,Ludicolo,Water,Grass,,3,3,Standard,0
273,Seedot,Grass,Grass,,3,1,Standard,0
274,Nuzleaf,Grass,Dark,,3,2,Standard,0
275,Shiftry,Grass,Dark,,3,3,Standard,1
276,Taillow,Normal,Flying,,3,1,Standard,1
277,Swellow,Normal,Flying,,3,2,Standard,0
278,Wingull,Water,Flying,,3,1,Standard,1
279,Pelipper,Water,Flying,,3,2,Standard,1
280,Ralts,Psychic,Fairy,,3,1,Standard,0
281,Kirlia,Psychic,Fairy,,3,2,Standard,0
282,Gardevoir,Psychic,Fairy,,3,3,Standard,1
283,Surskit,Bug,Water,,3,1,Standard,0
284,Masquerain,Bug,Flying,,3,2,Standard,0
285,Shroomish,Grass,Grass,,3,1,Standard,2
286,Breloom,Grass,Fighting,,3,2,Standard,0
287,Slakoth,Normal,Normal,,3,1,Standard,0
288,Vigoroth,Normal,Normal,,3,2,Standard,0
289,Slaking,Normal,Normal,,3,3,Standard,1
290,Nincada,Bug,Ground,,3,1,Standard,0
291,Ninjask,Bug,Flying,,3,2,Standard,0
292,Shedinja,Bug,Ghost,,3,2,Standard,0
293,Whismur,Normal,Normal,,3,1,Standard,0
294,Loudred,Normal,Normal,,3,2,Standard,0
295,Exploud,Normal,Normal,,3,3,Standard,0
296,Makuhita,Fighting,Fighting,,3,1,Standard,0
297,Hariyama,Fighting,Fighting,,3,2,Standard,0
298,Azurill,Normal,Fairy,,3,1,Standard,0
299,Nosepass,Rock,Rock,,3,1,Standard,0
300,Skitty,Normal,Normal,,3,1,Standard,0
301,Delcatty,Normal,Normal,,3,2,Standard,0
302,Sableye,Dark,Ghost,,3,0,Standard,1
303,Mawile,Steel,Fairy,,3,0,Standard,1
304,Aron,Steel,Rock,,3,1,Standard,0
305,Lairon,Steel,Rock,,3,2,Standard,0
306,Aggron,Steel,Rock,,3,3,Standard,0
307,Meditite,Fighting,Psychic,,3,1,Standard,0
308,Medicham,Fighting,Psychic,,3,2,Standard,0
309,Electrike,Electric,Electric,,3,1,Standard,0
310,Manectric,Electric,Electric,,3,2,Standard,0
311,Plusle,Electric,Electric,,3,0,Standard,0
312,Minun,Electric,Electric,,3,0,Standard,0
313,Volbeat,Bug,Bug,,3,0,Standard,0
314,Illumise,Bug,Bug,,3,0,Standard,0
315,Roselia,Grass,Poison,,3,2,Standard,0
316,Gulpin,Poison,Poison,,3,1,Standard,0
317,Swalot,Poison,Poison,,3,2,Standard,2
318,Carvanha,Water,Dark,,3,1,Standard,0
319,Sharpedo,Water,Dark,,3,2,Standard,1
320,Wailmer,Water,Water,,3,1,Standard,1
321,Wailord,Water,Water,,3,2,Standard,1
322,Numel,Fire,Ground,,3,1,Standard,0
323,Camerupt,Fire,Ground,,3,2,Standard,0
324,Torkoal,Fire,Fire,,3,0,Standard,1
325,Spoink,Psychic,Psychic,,3,1,Standard,0
326,Grumpig,Psychic,Psychic,,3,2,Standard,0
327,Spinda,Normal,Normal,,3,0,Standard,0
328,Trapinch,Ground,Ground,,3,1,Standard,1
329,Vibrava,Ground,Dragon,,3,2,Standard,0
330,Flygon,Ground,Dragon,,3,3,Standard,1
331,Cacnea,Grass,Grass,,3,1,Standard,1
332,Cacturne,Grass,Dark,,3,2,Standard,0
333,Swablu,Normal,Flying,,3,1,Standard,0
334,Altaria,Dragon,Flying,,3,2,Standard,1
335,Zangoose,Normal,Normal,,3,0,Standard,1
336,Seviper,Poison,Poison,,3,0,Standard,1
337,Lunatone,Rock,Psychic,,3,0,Standard,0
338,Solrock,Rock,Psychic,,3,0,Standard,0
339,Barboach,Water,Ground,,3,1,Standard,0
340,Whiscash,Water,Ground,,3,2,Standard,0
341,Corphish,Water,Water,,3,1,Standard,0
342,Crawdaunt,Water,Dark,,3,2,Standard,0
343,Baltoy,Ground,Psychic,,3,1,Standard,0
344,Claydol,Ground,Psychic,,3,2,Standard,0
345,Lileep,Rock,Grass,,3,1,Ancient,0
346,Cradily,Rock,Grass,,3,2,Ancient,1
347,Anorith,Rock,Bug,,3,1,Ancient,0
348,Armaldo,Rock,Bug,,3,2,Ancient,0
349,Feebas,Water,Water,,3,1,Standard,0
350,Milotic,Water,Water,,3,2,Standard,1
351,Castform,Normal,Normal,,3,0,Standard,0
351,Castform,Fire,Fire,,3,0,Standard,0
351,Castform,Water,Water,,3,0,Standard,0
351,Castform,Ice,Ice,,3,0,Standard,0
352,Kecleon,Normal,Normal,,3,0,Standard,1
353,Shuppet,Ghost,Ghost,,3,1,Standard,0
354,Banette,Ghost,Ghost,,3,2,Standard,0
355,Duskull,Ghost,Ghost,,3,1,Standard,0
356,Dusclops,Ghost,Ghost,,3,2,Standard,0
357,Tropius,Grass,Flying,,3,0,Standard,2
358,Chimecho,Psychic,Psychic,,3,2,Standard,0
359,Absol,Dark,Dark,,3,0,Standard,1
360,Wynaut,Psychic,Psychic,,3,1,Standard,0
361,Snorunt,Ice,Ice,,3,1,Standard,1
362,Glalie,Ice,Ice,,3,2,Standard,1
363,Spheal,Ice,Water,,3,1,Standard,1
364,Sealeo,Ice,Water,,3,2,Standard,0
365,Walrein,Ice,Water,,3,3,Standard,0
366,Clamperl,Water,Water,,3,1,Standard,1
367,Huntail,Water,Water,,3,2,Standard,0
368,Gorebyss,Water,Water,,3,2,Standard,0
369,Relicanth,Water,Rock,,3,0,Standard,0
370,Luvdisc,Water,Water,,3,0,Standard,1
371,Bagon,Dragon,Dragon,,3,1,Standard,0
372,Shelgon,Dragon,Dragon,,3,2,Standard,0
373,Salamence,Dragon,Flying,,3,3,Standard,0
374,Beldum,Steel,Psychic,,3,1,Standard,0
375,Metang,Steel,Psychic,,3,2,Standard,0
376,Metagross,Steel,Psychic,,3,3,Standard,0
377,Regirock,Rock,Rock,,3,0,Sub-Legendary,0
378,Regice,Ice,Ice,,3,0,Sub-Legendary,0
379,Registeel,Steel,Steel,,3,0,Sub-Legendary,0
380,Latias,Dragon,Psychic,,3,0,Sub-Legendary,0
381,Latios,Dragon,Psychic,,3,0,Sub-Legendary,0
382,Kyogre,Water,Water,,3,0,Legendary,0
383,Groudon,Ground,Ground,,3,0,Legendary,0
384,Rayquaza,Dragon,Flying,,3,0,Legendary,0
385,Jirachi,Steel,Psychic,,3,0,Mythical,1
386,Deoxys,Psychic,Psychic,,3,0,Mythical,0
387,Turtwig,Grass,Grass,,4,1,Starter,0
388,Grotle,Grass,Grass,,4,2,Starter,0
389,Torterra,Grass,Ground,,4,3,Starter,1
390,Chimchar,Fire,Fire,,4,1,Starter,0
391,Monferno,Fire,Fighting,,4,2,Starter,1
392,Infernape,Fire,Fighting,,4,3,Starter,0
393,Piplup,Water,Water,,4,1,Starter,1
394,Prinplup,Water,Water,,4,2,Starter,0
395,Empoleon,Water,Steel,,4,3,Starter,0
396,Starly,Normal,Flying,,4,1,Standard,1
397,Staravia,Normal,Flying,,4,2,Standard,0
398,Staraptor,Normal,Flying,,4,3,Standard,0
399,Bidoof,Normal,Normal,,4,1,Standard,1
400,Bibarel,Normal,Water,,4,2,Standard,0
401,Kricketot,Bug,Bug,,4,1,Standard,0
402,Kricketune,Bug,Bug,,4,2,Standard,0
403,Shinx,Electric,Electric,,4,1,Standard,1
404,Luxio,Electric,Electric,,4,2,Standard,0
405,Luxray,Electric,Electric,,4,3,Standard,1
406,Budew,Grass,Poison,,4,1,Standard,0
407,Roserade,Grass,Poison,,4,3,Standard,0
408,Cranidos,Rock,Rock,,4,1,Ancient,0
409,Rampardos,Rock,Rock,,4,2,Ancient,1
410,Shieldon,Rock,Steel,,4,1,Ancient,0
411,Bastiodon,Rock,Steel,,4,2,Ancient,0
412,Burmy,Bug,Bug,,4,1,Standard,0
413,Wormadam,Bug,Grass,,4,2,Standard,0
413,Wormadam,Bug,Ground,,4,2,Standard,0
413,Wormadam,Bug,Steel,,4,2,Standard,0
414,Mothim,Bug,Flying,,4,2,Standard,0
415,Combee,Bug,Flying,,4,1,Standard,1
416,Vespiquen,Bug,Flying,,4,2,Standard,1
417,Pachirisu,Electric,Electric,,4,0,Standard,0
418,Buizel,Water,Water,,4,1,Standard,0
419,Floatzel,Water,Water,,4,2,Standard,0
420,Cherubi,Grass,Grass,,4,1,Standard,0
421,Cherrim,Grass,Grass,,4,2,Standard,0
422,Shellos,Water,Water,,4,1,Standard,0
423,Gastrodon,Water,Ground,,4,2,Standard,0
424,Ambipom,Normal,Normal,,4,2,Standard,0
425,Drifloon,Ghost,Flying,,4,1,Standard,1
426,Drifblim,Ghost,Flying,,4,2,Standard,1
427,Buneary,Normal,Normal,,4,1,Standard,0
428,Lopunny,Normal,Normal,,4,2,Standard,0
429,Mismagius,Ghost,Ghost,,4,2,Standard,0
430,Honchkrow,Dark,Flying,,4,2,Standard,0
431,Glameow,Normal,Normal,,4,1,Standard,0
432,Purugly,Normal,Normal,,4,2,Standard,0
433,Chingling,Psychic,Psychic,,4,1,Standard,0
434,Stunky,Poison,Dark,,4,1,Standard,0
435,Skuntank,Poison,Dark,,4,2,Standard,0
436,Bronzor,Steel,Psychic,,4,1,Standard,0
437,Bronzong,Steel,Psychic,,4,2,Standard,0
438,Bonsly,Rock,Rock,,4,1,Standard,0
439,Mime Jr.,Psychic,Fairy,,4,1,Standard,0
440,Happiny,Normal,Normal,,4,1,Standard,0
441,Chatot,Normal,Flying,,4,0,Standard,0
442,Spiritomb,Ghost,Dark,,4,0,Standard,0
443,Gible,Dragon,Ground,,4,1,Standard,0
